sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,Scenes,sound,,csv bug
!,0,,,Sunlight streams through the window—it’s just another ordinary day for me as a social worker.,1,,,,Office,,,
$,1,Mark,r,Oh my gosh，I'm so glad you're here. I really need someone to talk to. Have you heard about the new evaluation system the boss introduced?,2,,,,,,,
$,2,Me,l,Hey，calm down. I'm all ears.,3,,,,,,,
%,3,,,What is it all about?,4,,1,,,,,
$,4,Mark,r,Oh god，they're going to rate our work based on three numerical values: understanding，skill，and compliance.,5,,,,,,,
$,5,Mark,r,It's something like whether you understand the clients，whether your skills are up to standard，and whether you follow the rules.,6,,,,,,,
$,6,Me,l,It doesn't sound that bad when you put it that way. What do you think about it?,7,,,,,,,
$,7,Mark,r,Oh no，I think it is crazy! Understanding the real thoughts of clients has always been my weak point. What should I do?,8,,,,,,,
$,8,Me,l,Chill out. The key is to listen and see things from their point of view. Trust that they'll understand eventually.,9,,,,,,,
$,9,Mark,r,Yep... but it still feels frustrating.,10,,,,,,,
$,10,Mark,r,If your score is too low，you'll need to retrain—or worse，you might get fired! They say it's about accountability and building client trust.,11,,,,,,,
$,11,Me,l,What if your score is high?,12,,,,,,,
$,12,Mark,r,If your score is high，you supposedly get a raise or something. I don't know.,13,,,,,,,
$,13,Me,l,Hooray! Money time!,14,,,,,,,
$,14,Mark,r,Ugh，let's not talk about this anymore. Oh，did you watch the game last night? It was insane!  My God，my friends and I stayed up until 3 AM. That final goal—man，I almost screamed!,15,,,,,,,
$,15,Me,l,I guess this is why you look so tired，huh?,16,,,,,,,
$,16,Mark,r,You got me. Speaking of which，I really need you to do me a favor. I have a family meeting to attend later，and I really don't want my clients to see me like this. Help me，help，help.,17,,,,,,,
$,17,Mark,r,You don't have to do much—just sit there and listen. The family therapist I brought in will be there to handle the talking. It shouldn't take long before the case is wrapped up. Well?,18,,,,,,,
%,18,,,No problem，I got you.,20,,,-1,,,,
%,19,,,This isn't right—you should go yourself.,21,,,1,,,,
$,20,Mark,r,You're the best! I knew I could count on you!,22,,,,,,,
$,21,Mark,r,Just this once—please? I'll even buy you lunch tomorrow. Deal? Alright，I'm out!,22,,,,,,,
!,22,,,The case involves a 7-year-old child Vivian who has been reported as being unusually withdrawn at school，barely speaking. According to Mark，the parents are highly cooperative and passionate，which makes the process smoother. The case is expected to be resolved soon. After some time，I met with the family. And after briefly introducing myself，we attended the therapy session together.,23,,,,Meeting,,,
$,23,Therapist,l,How have you been lately，little Vivian? Your shoes look adorable today.,24,,,,,,,
$,24,Vivian,r, … (Clutching the hem of her shirt),25,,,,,,,
$,25,Therapist,l,(Smiling) Alright，let's start with some feedback. Since our last session，what steps have you taken? Have they been effective? Has Vivian been doing better?,26,,,,,,,
$,26,Vivian's Mother,r,You mentioned before that we should spend more time with her to build trust. So now，I read to her every night，and she's really opening up—she laughs at the funny parts，and we have a great time together.,27,,,,,,,
$,27,Therapist,l,That's great. Keep communicating with her and try to understand her needs.,28,,,,,,,
$,28,Vivian,r,(Tugs at her mother's sleeve),29,,,,,,,
$,29,Vivian's Mother,r, Sigh… I don't know why，she just stopped talking to us much about six months ago. She used to be such a lively kid，always begging to go to the amusement park. Do you think taking her there more often would help? ,30,,,,,,,
$,30,Therapist,l,Taking her out more would definitely help. Letting her experience the outside world is important. By the way，I never quite understood last time—you said her change started six months ago. What exactly happened back then?,31,,,,,,,
$,31,Vivian's Mother,r,… (Falls silent，her face darkens),32,,,,,,,
