sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,,,,csv bug
!,0,,,I recently received a flyer from the agency addressing the three most common questions young people have when considering reaching out for social services. Hopefully， these answers will resolve some of their concerns: When， How， and What.,1,,,,,,,
#,1,,,When to Contact,4,,,,,,,
#,2,,,How to Contact,7,,,,,,,
#,3,,,What Help Can I Get,10,,,,,,,
!,4,,,"""<b><size=12>When to Contact</size></b>
<size=10>Social services can provide support in various situations. Here are some examples of when you might seek help from social services:
* There are conflicts at home， and you or someone else may be threatened or physically harmed.
* You are experiencing violence or sexual abuse from a family member.
* You are struggling at school.
* Your family cannot afford food or rent.
*The adults you live with are unable to care for you properly， perhaps due to illness or substance abuse problems.
* You are dealing with substance abuse issues or engaging in illegal or dangerous activities.
* Your parents or guardians have refused to let you stay at home.
* You fear being forced into marriage or are restricted from loving someone of your choice.
* You arrived in Sweden alone without an adult to care for you.
These are just a few typical examples. If you face any challenging situation， feel free to contact social services. We are here to help you. </size>""",5,,,,,,,
#,5,,,back to first,1,,,,,,,
#,6,,,back to game,13,,,,,,,
!,7,,,"<b><size=12> How to Contact </size></b>
<size=10>If you want to contact social services， call your local municipal government and ask to be connected to the social services department or the social emergency service. 
If you only wish to ask questions， seek advice， or get support， you can remain anonymous.
If you find it difficult to contact social services by yourself， ask someone you trust to help you， like a school staff member， a relative， or a friend’s parent.
For those in Botkyrka Municipality， you can call:
* Reception for Children Phone: 08-530 622 55
Monday: 8:30 AM - 6:00 PM
Tuesday to Thursday: 8:30 AM - 4:00 PM
Friday: 8:30 AM - 2:00 PM (Closed for lunch from 12 PM - 1 PM)
* Social Emergency Service (after office hours) Phone: 020-70 80 03
You can also contact us online or submit a report via e-service by visiting our website: Visit<link=\""https://www.botkyrka.se/stod-trygghet-och-familj/om-socialtjansten/kontakta-socialtjansten\"">https://www.botkyrka.se/stod-trygghet-och-familj/om-socialtjansten/kontakta-socialtjansten</link></size>",8,,,,,,,
#,8,,,back to first,0,,,,,,,
#,9,,,back to game,13,,,,,,,
!,10,,,"""<b><size=12> What Help Can I Get?  </size></b>
<size=10>You can receive different types of support from social services. Here are some examples of the help available:
* Family Discussions: You and your family can participate in structured family conversations facilitated by a trained professional. They can help resolve conflicts and create a healthier environment at home.
* Parental Support: Your parents or guardians can receive guidance on how to better care for you.
* Family Law Support: If your parents or guardians are going through a divorce， social services can help determine living arrangements and custody agreements.
* Contact Support: You may be assigned a mentor or support person — a reliable adult you can talk to and spend time with， whether it’s having coffee， watching a movie， or doing other activities together.
* Temporary Housing: If necessary， you may stay somewhere temporarily. This is often with relatives， family friends， or foster families. In some cases， specialized accommodations are also available. </size>""",11,,,,,,,
#,11,,,back to first,0,,,,,,,
#,12,,,back to game,13,,,,,,,
End,13,,,,,,,,,,,
