sysmbol,ID,character,position,Text,Jump,kindness,intellegence,compliance,Scenes,,,csv bug
!,0,,,"Over the past few months, Kim has been increasingly seen with a group of older teenagers associated with criminal networks. Kim was recently arrested by the police on suspicion of participating in a villa burglary.",1,,,,House,,,
!,1,,,"Upon receiving this information, my first step would be to assess whether Kim needs immediate protection or support from social services. After careful evaluation, I concluded that no immediate intervention was necessary. I then contacted Kim’s parents to inform them about the information provided by the police and invited them to a meeting along with Kim.",2,,,,,,,
!,2,,,"Concern Reports and Reporting Obligations':Young people have the right to receive proper care, even if their parents or guardians are not always able to ensure it. Therefore, anyone who is concerned about a young person can report it to social services. This is called a Concern Report.
Anyone can submit a Concern Report, and some adults are legally obligated to do so. For example, if you are worried about a friend or sibling, you can file a Concern Report with social services (often referred to as ""soc""). If you prefer, you can report anonymously.
According to the law, adults who believe that someone under the age of 18 is in danger must report it. This is known as the Reporting Obligation. This applies to adults working in sectors such as schools, healthcare, or law enforcement.",3,,,,,,,
$,3,Me,l,"Hello everyone, I’m glad you could come. Let’s all sit down and have a conversation about this.",4,,,,,,,
$,4,Kim'sMother,r,Hello.,5,,,,,,,
$,5,Kim'sFather,r,"Hello, we really need some advice.",6,,,,,,,
$,6,Kim,r,I think I’m fine. There’s nothing to talk about.,7,,,,,,,
$,7,Kim'sFather,r,"Hey Kim, we talked about this before.",8,,,,,,,
$,8,Me,l,"No need to be nervous. For now, we’re just having a simple conversation.",9,,,,,,,
$,9,Me,l,"Kim, some things have happened recently, right? We received a report from the police.",10,,,,,,,
$,10,Me,l,"They’re worried that you might get into trouble that could harm yourself or others. We really want to offer our support. Can we talk about it?""",11,,,,,,,
$,11,Kim,r,(Her eyes waver for a moment but quickly return to a firm look) I can take responsibility for what I do. I don’t need anyone’s help.,12,,,,,,,
$,12,Kim'sFather,r,Kim! What responsibility can you take? Haven’t you done enough already?,13,,,,,,,
$,13,Kim'sFather,r,"Hanging out with those gang members every day, doing all sorts of shady things! Do you have any idea how worried we are? Your mother can’t even sleep at night!",14,,,,,,,
$,14,Kim'sMother,r,"Alright, alright, that’s enough.",15,,,,,,,
$,15,Kim,r,I never asked you to do that. You don’t need to worry about me.,16,,,,,,,
$,16,Kim'sFather,r,Kim! Why won’t you just listen?,17,,,,,,,
%,17,,,"Everyone, please calm down and listen to me.",20,,,,,,,
%,18,,,"Kim, your father is right. You’re being too disobedient.",21,,,,,,,
%,19,,,"Kim’s father, don’t be too harsh. The child is struggling too.",23,,,,,,,
$,20,Me,l,"Arguing won’t solve anything. We’re here today not to fight, but to have a conversation. Let’s all take a deep breath and calm down, alright? We’ll take it slow.",24,,,,,,,
$,21,Kim,r,Who are you anyway? What does this have to do with you? You’re just an outsider sticking your nose into our business!,22,,,,,,,
$,22,Kim'sFather,r,Kim!,24,,,,,,,
$,23,Kim'sFather,r,...,24,1,,,,,,
$,24,Me,l,"I understand that everyone is upset right now, but please try to stay calm.",25,,-1,,,,,
$,25,Me,l,We have coffee and some snacks. How about we sit down and have a cup of coffee together?,26,,1,,,,,
!,26,,,"While we had coffee, we chatted casually for a while. Kim chose to sit aside, scrolling through her phone. Her parents looked exhausted. I did my best to engage them in small talk, hoping to lift their spirits a little. But I knew what they truly needed was a way to help Kim.",27,,,,,,,
!,27,,,"Sensing that Kim’s resistance might be due to her parents' presence, I decided it would be best to have a one-on-one conversation with her.",28,,,,,,,
$,28,Kim,r,"(Looking down, typing on her phone)",29,,,,,,,
$,29,Me,l,"Kim, would you like to have a chat with me?",30,,,,,,,
$,30,Kim,r,About what?,31,,,,,,,
$,31,Me,l,About yourself — what you’re thinking. No pressure. Everything we talk about will remain strictly confidential.,32,,,,,,,
$,32,Kim,r,...,33,,,,,,,
$,33,Me,l,What do you like to do in your free time?,34,,,,,,,
$,34,Kim,r,"I usually hang out with my friends, just messing around and chatting.",35,,,,,,,
$,35,Me,l,Do you enjoy spending time with them?,36,,,,,,,
%,36,Kim,r,"I… I guess. They’re pretty cool. Being with them feels freeing — much better than being stuck at home. At home, it’s all rules and nagging. It’s boring.",37,1,,,,,,
%,37,Me,l,I heard that some of your friends might be involved with gangs. Do you ever worry that something bad might happen to you?,38,,1,,,,,
%,38,Kim,r,"I… Most of them are good people. But yeah, sometimes things do go too far. I guess I do get scared sometimes, but I don’t want to seem weak.",39,-1,-1,-1,,,,
$,39,Kim,r,"But you know, friends are supposed to have each other’s backs. And like I said, I’m willing to take responsibility for what I do.",40,,,,,,,
$,40,Me,l,It sounds like you’re a very responsible person.,41,,,,,,,
$,41,Kim,r,Of course! Everyone trusts me. I really like the feeling of being trusted. My parents… they never trust me. I don’t think there’s any point talking to them.,42,,,,,,,
$,42,Me,l,"You feel like they don’t trust or understand you, right?",43,,,,,,,
$,43,Kim,r,Exactly! They think I’m crazy for hanging out with my friends. My dad says I’m talking nonsense when I say I’m happy with them.,44,,,,,,,
$,44,Kim,r,"He always says that if I keep this up, I’ll either get killed, end up in jail, or end up pregnant. They never understand how I feel.",45,,,,,,,
$,45,Me,l,"You know, I think they’re genuinely concerned about you. It’s not out of malice — I can see that.",46,,,,,,,
$,46,Kim,r,I’m not saying they don’t care… they just don’t understand.,47,10,10,15,,,,
$,47,Me,l,It seems like there are some communication issues between you and your parents. That’s something we can work on step by step.,48,10,5,-15,,,,
$,48,Me,l,"But for now, they are worried that your friends might have a bad influence on you. You even mentioned earlier that sometimes things get a little out of hand, didn’t you?",49,10,-10,5,,,,
$,49,Kim,r,I… I don’t know.,50,,,,,,,
$,50,Me,l,"I’m here today because I want to help you. If you’re willing, I’d like to work with you to find a solution.",51,,,,,,,
$,51,Kim,r,"I… I don’t know if there’s really a solution. But if you have any ideas, I… I’m willing to listen.",52,,,,,,,
!,52,,,"The meeting concluded. Afterward, considering the information provided by the police and what Kim and her parents shared, I determined that further investigation into Kim’s situation and support needs was necessary.",53,,,,,,,
!,53,,,"I initiated the investigation and, at the beginning of the process, worked with Kim and her parents to develop a plan. Together, we identified individuals within the family’s social network who might have valuable insights for the investigation. We also explored what kind of support the family could receive from their network.",54,,,,,,,
!,54,,,I believe Kim currently has three main needs. The first need is:,55,,,,,,,
#,55,,,Lacks proper reasoning and needs stricter discipline,58,,,,,,,
#,56,,,"Feels too restricted, should set her free",58,,,,,,,
